HJD	MAG	MER_2	GRADE
1947.89029	10.859	0.03	A
1953.87326	10.807	0.031	A
1961.89375	10.825	0.034	A
1963.87873	11.119	0.03	A
1965.872	10.832	0.031	A
1967.87458	10.883	0.033	A
1979.85835	10.846	0.037	A
1980.83939	10.822	0.037	A
1981.85894	11.043	0.037	A
2025.75581	10.852	0.028	A
2026.78908	10.844	0.028	A
2027.76945	10.864	0.028	A
2030.7609	10.817	0.027	A
2031.76756	10.857	0.028	A
2032.75693	10.846	0.027	A
2033.75027	10.821	0.027	A
2052.70761	11.222	0.03	A
2055.69924	11.198	0.032	A
2056.70049	10.857	0.029	A
2057.69632	10.845	0.029	A
2068.72547	10.856	0.03	A
2069.67728	10.853	0.031	A
2070.66899	10.961	0.031	A
2080.58801	10.863	0.03	A
2082.66058	10.862	0.03	A
2083.64246	10.865	0.033	A
2085.63103	10.871	0.029	A
2086.63021	10.865	0.03	A
2087.63007	10.821	0.033	A
2088.62883	10.861	0.029	A
2096.65072	10.851	0.031	A
2102.58366	10.87	0.031	A
2103.60338	10.841	0.031	A
2104.60331	10.825	0.037	A
2106.60211	10.856	0.027	A
2109.5948	10.883	0.028	A
2115.56177	10.843	0.029	A
2116.56965	10.855	0.03	A
2117.56627	10.855	0.028	A
2124.5422	10.829	0.032	A
2125.55803	10.843	0.031	A
2128.54139	10.831	0.027	A
2129.54937	11.002	0.029	A
2131.50985	10.857	0.03	A
2132.54793	11.047	0.027	A
2133.53942	10.852	0.026	A
2140.52028	10.88	0.029	A
2142.51458	10.834	0.029	A
2144.50601	11.118	0.029	A
2441.65676	10.851	0.024	A
2444.64782	10.856	0.023	A
2446.65513	10.86	0.023	A
2452.6168	10.839	0.034	A
2454.64752	11.188	0.04	A
2460.6366	11.061	0.024	A
2464.60993	10.832	0.027	A
2465.61134	10.865	0.029	A
2466.5984	10.903	0.024	A
2467.60559	10.857	0.025	A
2468.60253	10.847	0.023	A
2470.53004	10.806	0.03	A
2473.56443	10.84	0.032	A
2481.55381	10.895	0.034	A
2482.59062	10.83	0.036	A
2486.562	10.831	0.034	A
2489.55321	11.001	0.03	A
2490.5928	10.835	0.03	A
2493.55091	10.859	0.036	A
2494.55643	10.838	0.037	A
2497.54618	10.856	0.029	A
2498.5389	10.876	0.029	A
2499.53466	10.866	0.027	A
2501.52904	10.85	0.028	A
2508.56323	10.866	0.03	A
2524.60471	10.837	0.036	A
2544.51662	10.82	0.033	A
2549.5369	11.231	0.035	A
2552.52821	11.201	0.038	A
2560.48467	10.831	0.026	A
2686.86709	10.855	0.029	A
2689.86721	10.851	0.028	A
2697.86953	10.846	0.026	A
2701.84173	10.859	0.026	A
2704.84844	10.88	0.026	A
2706.88823	10.84	0.026	A
2709.84976	10.859	0.025	A
2712.8308	10.859	0.024	A
2714.86011	10.886	0.025	A
2724.90546	10.844	0.025	A
2733.84025	10.861	0.024	A
2735.83311	10.867	0.026	A
2737.81854	10.94	0.025	A
2739.81765	10.835	0.024	A
2743.80362	11.032	0.029	A
2747.81748	10.833	0.038	A
2751.87444	10.879	0.028	A
2754.80115	10.865	0.024	A
2756.76612	10.82	0.024	A
2758.80704	11.112	0.031	A
2762.73677	10.913	0.037	A
2764.73606	11.008	0.026	A
2768.83485	10.862	0.025	A
2782.81405	11.047	0.023	A
2784.72271	10.86	0.025	A
2786.68583	10.826	0.026	A
2787.83362	10.83	0.034	A
2791.65754	10.846	0.029	A
2795.73927	10.87	0.037	A
2808.69785	10.857	0.025	A
2810.62625	10.845	0.024	A
2811.80901	10.875	0.033	A
2813.70241	10.874	0.029	A
2820.69541	10.848	0.022	A
2822.72441	10.809	0.039	A
2826.72609	10.849	0.029	A
2836.59079	10.857	0.024	A
2839.64195	10.863	0.022	A
2841.69176	10.964	0.024	A
2843.63425	10.883	0.036	A
2851.57699	10.845	0.022	A
2853.72478	10.995	0.024	A
2855.61382	10.833	0.026	A
2861.5516	10.847	0.025	A
2862.66392	11.284	0.026	A
2866.66388	10.834	0.025	A
2872.51561	10.842	0.025	A
2877.5621	10.86	0.031	A
2879.56	10.833	0.03	A
2882.58069	10.84	0.028	A
2888.48502	10.869	0.025	A
2892.48602	10.857	0.03	A
2893.6159	10.888	0.032	A
2895.6	10.863	0.025	A
2897.60896	10.848	0.024	A
2905.56	10.861	0.023	A
2908.57849	10.845	0.025	A
2910.57378	10.859	0.025	A
2915.49153	10.882	0.026	A
2917.52555	10.831	0.025	A
2921.52623	10.88	0.03	A
2923.52974	10.829	0.028	A
2926.53725	10.817	0.027	A
2928.53798	10.85	0.027	A
2931.5026	10.85	0.028	A
2933.51005	10.996	0.026	A
2935.51134	10.843	0.026	A
3054.89268	10.861	0.028	A
3067.90357	10.845	0.028	A
3071.86285	11.013	0.041	A
3080.85794	10.919	0.035	A
3086.91178	10.986	0.028	A
3090.84975	10.873	0.027	A
3093.89019	10.844	0.031	A
3097.79689	10.868	0.027	A
3099.86213	10.848	0.032	A
3106.8798	10.795	0.031	A
3109.81558	10.84	0.027	A
3112.81389	10.868	0.026	A
3115.80141	10.865	0.026	A
3122.80748	10.861	0.025	A
3124.86152	10.885	0.032	A
3133.8658	10.88	0.028	A
3142.88877	10.853	0.027	A
3146.69287	10.886	0.025	A
3152.83681	10.876	0.03	A
3154.6945	11.165	0.026	A
3162.68866	10.848	0.028	A
3164.72148	10.857	0.026	A
3167.73717	10.83	0.024	A
3169.71011	11.017	0.029	A
3175.84878	11.228	0.027	A
3180.74795	10.834	0.028	A
3183.73523	10.869	0.026	A
3189.65477	10.865	0.029	A
3191.74168	11.14	0.035	A
3273.57312	10.908	0.027	A
3276.5379	10.899	0.041	A
3282.54172	10.784	0.034	A
3293.52001	10.859	0.026	A
3450.87447	10.842	0.032	A
3453.83731	10.847	0.029	A
2454.64752	11.163	0.043	A
2463.62481	10.965	0.039	A
2490.5928	10.816	0.037	A
2727.87455	10.905	0.028	A
2751.87444	10.864	0.038	A
2770.80603	11.134	0.029	A
2775.80708	10.824	0.033	A
2853.72478	10.981	0.033	A
3134.82719	10.844	0.033	A
1954.88757	11.129	0.038	A
1964.8659	10.91	0.033	A
1979.86766	10.872	0.039	A
1981.86827	11.039	0.036	A
2025.75796	10.833	0.027	A
2026.79123	10.875	0.027	A
2027.77158	10.818	0.028	A
2030.76533	10.843	0.026	A
2032.75906	10.868	0.025	A
2033.75239	10.814	0.026	A
2058.69752	11.221	0.029	A
2069.67935	10.839	0.029	A
2070.67105	11.009	0.027	A
2083.64008	10.854	0.031	A
2172.53189	10.853	0.031	A
2177.48816	10.834	0.04	A
2442.65412	11.138	0.032	A
2444.65451	10.837	0.025	A
2445.63852	11.178	0.024	A
2446.6572	10.848	0.027	A
2464.60755	10.867	0.031	A
2466.60506	10.903	0.026	A
2468.60013	10.86	0.027	A
2470.54852	10.867	0.035	A
2473.56651	10.845	0.035	A
2683.88115	10.849	0.026	A
2689.88593	10.863	0.026	A
2696.86838	10.86	0.028	A
2697.8767	10.835	0.028	A
2704.85546	10.831	0.026	A
2709.88781	10.841	0.025	A
2712.83309	10.799	0.024	A
2714.87881	10.838	0.023	A
2724.80669	10.84	0.025	A
2757.78407	10.882	0.023	A
2784.72944	10.867	0.022	A
2791.67217	10.866	0.024	A
3272.56043	10.897	0.031	A
3275.5598	10.82	0.029	A
3278.52908	10.865	0.027	A
3280.56911	10.848	0.028	A
3292.51394	10.885	0.032	A
3298.50636	10.902	0.028	A
3411.89074	10.881	0.028	A
3415.89206	10.828	0.028	A
