HJD	MAG	MER_3	GRADE
2453.92002	9.756	0.029	A
2628.56528	9.76	0.038	A
2660.58777	9.769	0.027	A
1919.58885	9.762	0.028	A
1925.56004	9.765	0.026	A
1933.53609	9.767	0.026	A
2445.92831	9.763	0.025	A
2453.92002	9.761	0.037	A
2470.89995	10.192	0.031	A
2498.8335	9.71	0.037	A
2628.56528	9.778	0.029	A
2635.5675	9.749	0.026	A
2637.58867	9.761	0.025	A
2641.60122	9.776	0.025	A
2645.58756	9.762	0.025	A
2647.57842	10.04	0.027	A
2653.5442	9.773	0.026	A
2655.57829	9.747	0.026	A
2658.58874	9.788	0.028	A
2662.59011	9.767	0.025	A
2664.58604	9.741	0.027	A
2666.58334	9.765	0.026	A
2668.58894	9.754	0.025	A
2671.53874	9.797	0.027	A
2673.53771	9.76	0.025	A
2675.53667	9.748	0.026	A
2680.55091	9.765	0.03	A
2683.53827	10.083	0.028	A
2686.52693	9.767	0.031	A
2689.52133	9.757	0.035	A
2691.51987	9.728	0.029	A
2694.51313	9.761	0.029	A
2812.92885	9.777	0.03	A
2853.89305	9.742	0.024	A
2859.87971	9.725	0.024	A
2861.87236	9.739	0.026	A
2872.86337	10.057	0.026	A
2875.88056	9.778	0.023	A
2877.86548	9.756	0.024	A
2883.83599	9.69	0.025	A
2885.80599	9.762	0.026	A
2892.84914	9.746	0.029	A
2894.7816	9.747	0.028	A
2899.82584	10.039	0.026	A
2902.79053	9.742	0.03	A
2905.76086	9.68	0.024	A
2908.75016	9.709	0.026	A
2910.79894	9.724	0.025	A
2915.76378	9.75	0.024	A
2917.71773	9.737	0.03	A
2926.75201	9.747	0.025	A
2930.74314	9.74	0.026	A
2932.73553	9.757	0.024	A
2934.73047	9.79	0.024	A
2940.68741	9.763	0.025	A
2942.68009	9.761	0.026	A
2944.68809	9.752	0.028	A
2946.66911	9.912	0.026	A
2957.68085	9.758	0.027	A
2961.70217	9.75	0.032	A
2963.69122	9.761	0.026	A
2965.70699	9.998	0.027	A
2971.72079	9.767	0.027	A
2973.67299	9.795	0.027	A
2975.66992	9.811	0.027	A
2980.71796	9.775	0.033	A
2982.72909	9.952	0.037	A
2985.55819	9.724	0.025	A
2987.59078	9.738	0.025	A
2989.66459	9.735	0.028	A
2991.69268	9.798	0.028	A
2994.60137	9.76	0.026	A
2996.64199	9.766	0.027	A
2998.63311	9.768	0.027	A
3008.58184	9.776	0.028	A
3010.62063	9.777	0.032	A
3018.56118	9.768	0.026	A
3029.5441	9.792	0.029	A
3035.54566	9.765	0.03	A
3039.55296	9.757	0.03	A
3043.55084	9.78	0.029	A
3046.54834	9.76	0.03	A
3049.54235	9.954	0.026	A
3052.53092	9.741	0.027	A
3281.77934	9.776	0.029	A
3294.75001	9.734	0.027	A
2621.57617	9.669	0.026	A
2627.56868	9.695	0.026	A
2637.60809	9.704	0.023	A
2647.58091	9.939	0.035	A
2653.54901	9.687	0.026	A
2836.93156	9.701	0.027	A
2860.86398	9.707	0.026	A
2872.86539	10.004	0.025	A
3266.85651	9.738	0.03	A
3273.77009	9.892	0.029	A
3295.68169	9.711	0.025	A
3298.69019	9.766	0.025	A
3321.64007	10.173	0.03	A
3356.61507	9.729	0.03	A
3564.93023	10.006	0.031	A
3575.90327	9.773	0.032	A
3585.89206	9.732	0.029	A
3588.88684	9.724	0.029	A
3591.87435	9.747	0.027	A
3599.85407	9.697	0.028	A
3620.81037	10.038	0.031	A
3624.80019	9.732	0.026	A
3629.77098	9.786	0.029	A
3631.78631	9.755	0.031	A
3636.84806	9.74	0.031	A
3639.73734	9.723	0.034	A
3642.73859	9.717	0.025	A
3646.73886	9.733	0.025	A
3653.73134	9.742	0.033	A
3655.70997	9.742	0.028	A
3657.71732	9.706	0.029	A
3663.77804	9.951	0.035	A
3666.66717	9.737	0.026	A
3669.76136	9.75	0.025	A
3672.65622	9.707	0.024	A
3677.65202	9.733	0.03	A
3712.63725	9.72	0.029	A
3718.62567	9.749	0.036	A
3751.59939	9.74	0.038	A
4107.55569	10.481	0.027	A
4285.93661	10.092	0.034	A
4293.9209	9.719	0.03	A
4301.91584	9.744	0.031	A
4307.89629	9.737	0.04	A
4314.89421	9.811	0.029	A
4330.81876	9.736	0.028	A
4332.83727	10.102	0.036	A
4340.82385	9.76	0.03	A
4349.79569	9.727	0.033	A
4352.79107	9.725	0.028	A
4354.80416	9.73	0.029	A
4357.77784	9.739	0.032	A
4364.7588	9.752	0.028	A
4367.75165	9.755	0.035	A
4369.77343	9.714	0.035	A
4374.82617	9.761	0.043	A
4377.71926	9.741	0.033	A
4379.82323	9.759	0.027	A
4382.70713	9.727	0.027	A
4384.79838	9.743	0.036	A
4387.69722	9.747	0.026	A
4389.70869	9.741	0.036	A
4393.69992	9.741	0.043	A
4402.6673	9.763	0.031	A
