HJD	MAG	MER_3	GRADE
2545.83851	9.99	0.032	A
2628.73669	9.935	0.036	A
2635.72747	9.965	0.04	A
1868.82343	9.941	0.036	A
1870.75861	9.953	0.039	A
1871.86752	9.958	0.037	A
1873.77242	10.522	0.034	A
1875.75623	9.942	0.037	A
1877.75215	9.92	0.034	A
1879.74882	9.956	0.034	A
1881.73692	9.943	0.034	A
1884.82595	9.939	0.033	A
1886.73323	9.936	0.033	A
1887.81977	9.954	0.035	A
1902.75425	9.921	0.036	A
1903.77276	9.941	0.034	A
1904.77787	9.946	0.033	A
1905.76104	9.956	0.032	A
1906.7614	10.294	0.035	A
1907.75707	9.941	0.035	A
1913.72605	10.147	0.031	A
1914.73027	9.981	0.033	A
1915.73295	9.966	0.035	A
1918.74999	9.961	0.035	A
1919.76837	9.953	0.036	A
1920.72012	10.013	0.034	A
1921.71659	9.942	0.037	A
1922.71586	9.994	0.037	A
1924.70788	10.004	0.036	A
1926.7029	9.941	0.035	A
1928.707	9.969	0.033	A
1929.70003	9.928	0.035	A
1930.70059	9.98	0.035	A
1931.69534	9.992	0.038	A
1932.69091	9.926	0.036	A
1933.69094	9.961	0.039	A
1934.68974	9.98	0.036	A
1936.66454	9.926	0.038	A
1937.70283	9.979	0.038	A
1939.65548	9.928	0.037	A
1941.63376	9.942	0.038	A
1945.68555	9.971	0.037	A
1946.69591	9.946	0.037	A
1948.61815	9.998	0.039	A
1953.6559	9.914	0.039	A
1959.63795	10.226	0.042	A
1961.65974	9.964	0.04	A
1963.61797	9.977	0.045	A
1964.63629	9.981	0.041	A
1965.61817	9.942	0.046	A
1966.62021	10.294	0.045	A
1967.6173	9.971	0.045	A
1968.62143	9.954	0.046	A
1982.58774	10.017	0.044	A
2025.47061	9.968	0.033	A
2027.51935	9.946	0.033	A
2031.4718	9.931	0.036	A
2033.48357	10.28	0.037	A
2053.48179	9.952	0.035	A
2057.50787	9.999	0.038	A
2068.50342	9.934	0.031	A
2081.47863	9.924	0.035	A
2086.46811	9.96	0.036	A
2440.46662	9.995	0.036	A
2443.47355	9.932	0.036	A
2456.45239	9.992	0.045	A
2540.88155	9.972	0.033	A
2552.85298	9.95	0.029	A
2557.84567	10.008	0.047	A
2559.86407	9.978	0.036	A
2562.83875	9.974	0.035	A
2578.8382	9.98	0.042	A
2621.85828	9.961	0.032	A
2623.79638	9.923	0.03	A
2625.78887	9.933	0.031	A
2628.76623	9.978	0.034	A
