HJD	MAG	MER_4	GRADE
2115.50578	9.287	0.045	A
2117.5216	8.981	0.044	A
2134.50633	8.974	0.042	A
2141.50553	9.049	0.05	A
2143.49965	9.016	0.047	A
2145.491	8.986	0.048	A
3452.82634	8.997	0.037	A
2660.82781	9.023	0.046	A
2782.74453	9.02	0.04	A
1920.87106	9.037	0.05	A
1922.85958	9.033	0.045	A
1924.85363	8.997	0.045	A
1929.84195	9.02	0.043	A
1933.84136	9.028	0.042	A
1936.82392	9.014	0.039	A
1946.83308	9.018	0.044	A
1948.86239	9.303	0.043	A
1950.81121	9.015	0.038	A
1953.80237	9.013	0.038	A
1954.81743	9.03	0.036	A
1955.83198	8.993	0.039	A
1958.88842	8.996	0.037	A
1961.83977	9.034	0.038	A
1963.80603	9.001	0.037	A
1964.86028	8.998	0.038	A
1966.78699	8.99	0.038	A
1968.78363	8.999	0.042	A
1976.86177	8.967	0.044	A
1978.79926	9.026	0.047	A
1979.83163	8.962	0.048	A
1980.75628	9.036	0.056	A
1984.77432	8.996	0.048	A
1985.78992	9.007	0.051	A
1985.89126	8.997	0.05	A
2085.57991	9.015	0.043	A
2103.55658	8.999	0.052	A
2104.54959	9.033	0.049	A
2116.50938	9.002	0.044	A
2134.51307	9.787	0.048	A
2169.51678	9.025	0.05	A
2441.59556	9.01	0.032	A
2442.59635	9.037	0.029	A
2452.55434	8.991	0.046	A
2456.5555	8.98	0.041	A
2463.55046	9.001	0.05	A
2464.56064	8.986	0.041	A
2465.56438	8.989	0.035	A
2467.54518	9.019	0.029	A
2468.55548	8.98	0.037	A
2469.5521	8.98	0.039	A
2473.48678	9.016	0.042	A
2481.49573	8.976	0.044	A
2486.53318	9.005	0.05	A
2489.5105	9.022	0.055	A
2491.50203	9.025	0.05	A
2494.51106	9.089	0.038	A
2502.51263	8.997	0.042	A
2503.52665	8.983	0.042	A
2508.64135	9.009	0.041	A
2510.61769	8.994	0.038	A
2520.5617	9.295	0.037	A
2524.56406	9.018	0.041	A
2526.59944	9.01	0.048	A
2535.55801	9.005	0.04	A
2543.49515	9.34	0.046	A
2544.50911	8.979	0.036	A
2546.51738	9.048	0.045	A
2548.50162	9.013	0.036	A
2553.50114	9.002	0.035	A
2558.50588	9.001	0.039	A
2559.52701	8.992	0.049	A
2561.50768	9.001	0.046	A
2563.51071	9.223	0.036	A
2568.49723	8.989	0.038	A
2637.8651	8.991	0.049	A
2651.86411	8.993	0.043	A
2655.86532	9.008	0.042	A
2659.83776	9.004	0.043	A
2662.85401	9.005	0.042	A
2664.85586	8.993	0.041	A
2667.85711	9.008	0.043	A
2671.83817	9.01	0.041	A
2677.84667	9.002	0.053	A
2680.8105	9.002	0.038	A
2683.80493	9.003	0.037	A
2689.84545	9.105	0.049	A
2694.79836	9.019	0.041	A
2697.86616	9.001	0.04	A
2700.83513	9.008	0.042	A
2703.78223	9.013	0.043	A
2709.81486	9.006	0.035	A
2711.80151	8.976	0.05	A
2713.80494	9	0.039	A
2715.79596	9.34	0.056	A
2719.77292	9.001	0.053	A
2723.78881	9.014	0.045	A
2725.75734	8.974	0.052	A
2727.79085	9.008	0.048	A
2731.87081	8.985	0.048	A
2734.73882	8.977	0.049	A
2736.73908	8.989	0.051	A
2738.78771	9.34	0.055	A
2740.76718	9.009	0.034	A
2742.72556	9.003	0.051	A
2744.73	8.999	0.056	A
2747.78574	8.976	0.056	A
2750.82438	8.995	0.041	A
2752.72874	9.006	0.039	A
2755.70916	8.995	0.05	A
2757.70147	8.985	0.052	A
2759.75086	8.969	0.055	A
2761.68358	9.196	0.052	A
2763.6754	9.008	0.037	A
2766.73538	8.973	0.043	A
2775.72202	9.005	0.05	A
2782.7516	9.008	0.044	A
2784.67831	9.229	0.053	A
2785.8091	8.976	0.052	A
2787.75043	9.136	0.045	A
2790.89306	9.017	0.044	A
2794.61871	8.996	0.053	A
2805.83303	8.983	0.046	A
2809.73501	8.997	0.037	A
2810.84081	9	0.041	A
2812.60894	9.006	0.048	A
2821.53612	9.02	0.05	A
2826.58525	9.004	0.03	A
2829.59007	8.981	0.04	A
2830.72034	9.34	0.06	A
2832.56226	9.001	0.039	A
2836.7142	9.001	0.053	A
2843.65317	9.022	0.052	A
2851.72321	9.002	0.035	A
2854.52832	9.013	0.035	A
2858.55963	9.007	0.035	A
2859.63641	9.019	0.039	A
2861.61512	9.004	0.041	A
2866.59056	8.992	0.036	A
2868.64667	9.004	0.039	A
2872.64749	9.001	0.035	A
2875.65669	9.004	0.046	A
2877.64336	9.004	0.04	A
2883.51987	9.004	0.038	A
2885.52466	9.004	0.038	A
2888.55188	9.005	0.041	A
2893.51509	8.991	0.044	A
2895.52549	8.985	0.038	A
2897.53907	9.001	0.053	A
2901.52968	8.999	0.056	A
2905.52147	9.143	0.036	A
2908.53441	9.005	0.044	A
2910.5374	9.002	0.044	A
2912.5395	9.003	0.041	A
2916.51764	8.995	0.043	A
2921.53367	9.002	0.048	A
2924.50338	9.001	0.039	A
2927.51684	9	0.039	A
2930.49962	9.022	0.042	A
3032.84233	9.007	0.049	A
3036.83362	8.99	0.035	A
3042.84952	9.013	0.046	A
3052.83831	9.008	0.04	A
3055.87423	9.002	0.042	A
3059.82381	9.011	0.041	A
3063.83937	8.999	0.048	A
3067.87467	9.008	0.036	A
3070.83134	8.994	0.041	A
3073.83421	8.985	0.037	A
3076.83843	9.049	0.038	A
3079.81519	8.964	0.054	A
3082.81194	9.001	0.038	A
3086.82837	9.017	0.043	A
3089.79671	9.009	0.036	A
3092.77601	9.009	0.036	A
3096.87006	9.011	0.04	A
3098.81361	8.988	0.037	A
3100.81285	9.223	0.041	A
3103.766	9.021	0.041	A
3105.80419	8.992	0.04	A
3107.81115	9.005	0.037	A
3110.73873	8.994	0.038	A
3112.7901	9.014	0.039	A
3114.82947	9.361	0.035	A
3118.73588	8.993	0.037	A
3122.72532	9.015	0.034	A
3126.75318	9.012	0.038	A
3128.71476	8.995	0.041	A
3130.73807	8.997	0.043	A
3132.77704	8.997	0.044	A
3134.77272	8.996	0.042	A
3142.79438	9.01	0.036	A
3146.60097	9.273	0.033	A
3153.68125	9.002	0.034	A
3158.71289	9.003	0.047	A
3160.72384	8.998	0.056	A
3163.7379	9.014	0.036	A
3168.76908	8.997	0.044	A
3171.72311	9.008	0.036	A
3175.71634	9.016	0.042	A
3177.78331	9.004	0.044	A
3180.63842	9.008	0.037	A
3183.63314	9.006	0.042	A
3185.62436	9.003	0.042	A
3187.65244	9.003	0.039	A
3219.54457	9	0.035	A
3387.85412	9.182	0.051	A
3391.85448	8.992	0.054	A
3396.84727	9.006	0.041	A
3399.86486	9.008	0.054	A
3403.85935	9.008	0.051	A
3406.87692	9.024	0.042	A
3413.86641	9.27	0.061	A
3423.86823	8.987	0.057	A
3432.84364	9.069	0.04	A
3436.86471	9.227	0.045	A
3443.84804	9.009	0.041	A
3446.81723	9.005	0.048	A
3452.82634	9.008	0.05	A
3454.84942	9.015	0.053	A
3456.82307	9.26	0.051	A
3458.84738	9.002	0.051	A
3464.75748	9.028	0.036	A
3466.82196	9.004	0.036	A
3469.79666	9.006	0.036	A
3472.74912	9.003	0.042	A
3474.83863	9.003	0.048	A
3477.72794	9.028	0.047	A
3479.78072	9.217	0.044	A
3481.76179	9.012	0.044	A
3483.77041	8.997	0.041	A
3487.75802	8.992	0.052	A
3490.76422	9.004	0.048	A
3492.75239	8.982	0.049	A
3496.74774	8.999	0.039	A
3499.7535	9.021	0.042	A
3504.66491	8.997	0.048	A
3508.74146	9.095	0.034	A
3510.79842	9.006	0.033	A
3512.6818	8.999	0.041	A
3516.6799	8.991	0.042	A
3521.81511	9.037	0.041	A
3526.60727	9.115	0.036	A
3528.6558	9.282	0.036	A
3530.65556	9.017	0.045	A
3538.62907	9.006	0.04	A
3540.64875	9.01	0.039	A
3544.76095	8.991	0.043	A
3547.80388	9.006	0.056	A
3551.79191	9.139	0.054	A
3554.75394	9.017	0.035	A
3558.59264	8.991	0.045	A
3560.5897	8.982	0.046	A
3562.59016	9.024	0.046	A
3564.56874	9	0.039	A
3569.6708	9.017	0.039	A
3571.69615	9.21	0.041	A
3574.70359	9.29	0.039	A
3576.71804	9.015	0.041	A
3578.69535	9.028	0.047	A
3583.67273	9.027	0.049	A
3586.54148	9.028	0.046	A
3588.57848	9.007	0.043	A
3590.66184	9.013	0.045	A
3596.60904	9.002	0.045	A
3602.57996	9.008	0.048	A
3604.58932	9.013	0.059	A
3609.49432	8.972	0.052	A
3617.54924	9.008	0.042	A
3619.59949	9.029	0.047	A
3622.50636	8.99	0.055	A
3626.5718	9.017	0.041	A
3630.54967	9.007	0.046	A
3632.55596	9.003	0.048	A
3635.53814	9.008	0.054	A
3639.53971	9.009	0.044	A
3642.54293	8.985	0.049	A
3646.53854	9.288	0.041	A
3649.50801	9.04	0.056	A
3651.50675	9.026	0.048	A
3654.52641	9.012	0.051	A
3658.50488	9.001	0.048	A
3661.49842	9.007	0.052	A
3751.85772	9.021	0.056	A
3755.85288	9.004	0.051	A
3758.85771	8.997	0.05	A
3772.84385	9.368	0.051	A
3775.85417	9.103	0.052	A
3789.81575	9.006	0.053	A
3795.86112	9.359	0.046	A
3802.81479	8.991	0.057	A
3805.84366	9.009	0.046	A
3808.8409	9.014	0.05	A
3811.82131	9.006	0.048	A
3814.79323	8.995	0.053	A
3817.78291	9.011	0.046	A
3820.80063	8.992	0.055	A
3823.79332	9.005	0.052	A
3826.77951	9.026	0.052	A
3829.7672	9.015	0.043	A
3831.83301	9.012	0.048	A
3833.84105	9.02	0.048	A
3835.81158	9.002	0.049	A
3837.83096	9.009	0.046	A
3848.77655	8.992	0.062	A
3850.78407	9.03	0.05	A
3852.82318	9.013	0.052	A
3855.70651	8.987	0.046	A
3859.76274	9.007	0.045	A
3863.74096	9.014	0.042	A
3865.71531	9.016	0.046	A
3867.73241	9.197	0.047	A
3869.74303	9.004	0.055	A
3871.75564	9.004	0.045	A
3874.84038	9.024	0.048	A
3877.64525	9.004	0.044	A
3880.68683	9.018	0.046	A
3882.71862	8.994	0.045	A
3886.7211	9.007	0.044	A
3890.70101	9.216	0.048	A
3892.66496	8.981	0.047	A
3894.67483	9.007	0.038	A
3901.83343	9.009	0.048	A
3903.84841	8.995	0.048	A
3908.6077	9.007	0.048	A
4127.8405	9.007	0.039	A
4135.83654	9.027	0.05	A
4142.82476	9.013	0.038	A
4146.82423	9.02	0.058	A
4150.86904	9.001	0.042	A
4153.84793	9.014	0.041	A
4160.84406	8.99	0.039	A
4163.84752	9.016	0.054	A
4166.8578	9.012	0.046	A
4173.83673	8.995	0.039	A
4176.81756	8.992	0.042	A
4179.84635	8.994	0.04	A
4182.79635	8.988	0.039	A
4185.78988	8.972	0.039	A
4189.75107	9.001	0.035	A
4191.79172	9.014	0.037	A
4193.78128	8.989	0.039	A
4196.82861	9.013	0.051	A
4199.76562	9.02	0.044	A
4202.83154	8.999	0.037	A
4204.83694	8.99	0.037	A
4207.88162	9.027	0.04	A
4213.77502	8.986	0.041	A
4216.76685	9.006	0.035	A
4227.736	9.007	0.033	A
4229.73629	9.019	0.039	A
4231.74437	8.988	0.047	A
4233.74325	8.996	0.035	A
4235.74183	9.032	0.034	A
4245.63672	8.98	0.056	A
4246.80028	9.286	0.036	A
4250.70565	9.001	0.036	A
4253.77818	8.991	0.038	A
4256.60706	9.019	0.035	A
4258.65921	9.011	0.035	A
4269.70363	9.225	0.036	A
4272.63389	9.351	0.034	A
4274.64319	8.996	0.034	A
