HJD	MAG	MER_2	Grade
4420.59734	10.522	0.031	A
4422.65184	10.546	0.024	A
4429.61586	10.568	0.026	A
4431.68141	10.569	0.027	A
4439.58627	10.556	0.032	A
4442.63213	10.556	0.033	A
4457.56375	10.851	0.031	A
4460.56777	10.572	0.026	A
4463.55006	10.585	0.024	A
4469.5446	10.517	0.031	A
4473.56692	10.572	0.03	A
4482.54603	10.515	0.032	A
4487.53492	10.562	0.031	A
4626.92256	10.538	0.028	A
4630.91324	10.559	0.026	A
4647.89727	10.536	0.026	A
4650.93084	10.669	0.028	A
4654.91138	10.573	0.031	A
4664.88375	10.528	0.026	A
4676.9081	10.728	0.029	A
4682.83782	10.553	0.024	A
4685.82125	10.528	0.028	A
4691.80382	10.618	0.025	A
4694.79585	10.544	0.026	A
4700.82994	10.527	0.026	A
4703.78051	10.54	0.026	A
4715.79266	10.522	0.029	A
4721.70449	10.56	0.025	A
4727.80092	10.554	0.029	A
4729.81265	10.547	0.027	A
4733.7066	10.55	0.029	A
4740.71438	10.519	0.026	A
4747.72171	10.576	0.03	A
4750.65478	10.533	0.031	A
4755.67778	10.54	0.028	A
4757.74891	10.557	0.027	A
4760.63797	10.571	0.024	A
4762.75558	10.568	0.024	A
4765.63438	10.601	0.029	A
4767.74219	10.551	0.026	A
4770.63763	10.568	0.025	A
4772.71124	10.556	0.024	A
4775.58801	10.575	0.026	A
4777.61208	10.536	0.03	A
4782.61206	10.551	0.033	A
4784.68143	11.073	0.031	A
4792.67483	10.541	0.024	A
4803.64384	10.517	0.027	A
4819.56073	10.558	0.032	A
4827.60564	10.677	0.03	A
5088.72675	10.553	0.031	A
2886.75628	10.53	0.024	A
2998.64216	10.63	0.023	A
2053.92347	11.097	0.043	B
2529.72303	11.066	0.046	B
2554.64926	10.567	0.046	B
2639.55691	10.576	0.035	B
3006.54757	10.636	0.049	B
2468.87394	10.538	0.043	B
2488.7867	10.584	0.042	B
2490.80455	10.577	0.036	B
2912.72071	10.552	0.038	B
2951.66817	10.52	0.049	B
2953.68477	10.546	0.034	B
2987.61836	10.558	0.035	B
3012.5577	10.608	0.033	B
3019.54174	10.698	0.046	B
3183.92207	11.029	0.052	B
3326.59186	10.542	0.028	B
3383.55578	10.543	0.034	B
3388.5431	10.532	0.038	B
3553.89883	10.575	0.038	B
3586.83746	10.586	0.033	B
3596.83342	10.532	0.029	B
3600.807	10.52	0.034	B
3617.78538	10.563	0.039	B
3620.7635	10.556	0.041	B
3634.74866	10.565	0.032	B
3640.73258	10.555	0.03	B
3661.68174	10.551	0.034	B
3677.62871	10.527	0.04	B
3700.57515	10.795	0.037	B
3703.56332	10.572	0.034	B
3708.58903	10.554	0.038	B
3716.54002	10.542	0.035	B
3718.64149	10.595	0.033	B
3721.58657	10.774	0.035	B
3724.58249	10.6	0.038	B
3727.57483	10.603	0.033	B
3730.61114	10.557	0.036	B
3734.55825	11.1	0.033	B
3737.55322	10.53	0.032	B
3746.56518	10.535	0.041	B
3750.55664	10.566	0.035	B
3758.53499	10.56	0.032	B
4106.55002	10.557	0.031	B
4111.55509	10.54	0.035	B
4282.90477	10.839	0.033	B
4291.8768	10.572	0.046	B
4294.90637	10.553	0.036	B
4297.88408	10.535	0.048	B
4300.87669	10.586	0.049	B
4305.88959	10.558	0.043	B
4307.87777	10.559	0.034	B
4312.83386	10.586	0.039	B
4329.84702	10.563	0.042	B
4361.72157	10.548	0.033	B
4399.68953	10.525	0.036	B
4411.61645	10.533	0.033	B
4427.57891	10.498	0.039	B
4436.68298	10.552	0.032	B
4454.56723	10.528	0.037	B
4466.553	10.516	0.037	B
4669.89013	10.538	0.04	B
4707.75053	10.57	0.035	B
4717.8516	10.604	0.037	B
4737.80431	10.496	0.041	B
4795.66377	10.573	0.041	B
4798.63959	10.538	0.031	B
4801.59931	10.54	0.034	B
4810.5391	10.597	0.049	B
4813.54239	10.524	0.034	B
4815.6149	10.571	0.036	B
4821.61409	10.524	0.038	B
4824.60727	10.684	0.037	B
4830.60196	10.571	0.042	B
4837.55192	10.582	0.046	B
4840.5814	10.521	0.039	B
4844.5493	10.566	0.045	B
4847.54928	10.578	0.048	B
4850.55002	10.58	0.036	B
4855.52952	10.554	0.041	B
4990.929	10.509	0.04	B
5009.91572	10.542	0.039	B
5013.92832	10.782	0.041	B
5020.91939	10.551	0.041	B
5023.92253	10.428	0.034	B
5042.83147	10.53	0.047	B
5047.87762	10.526	0.043	B
5049.85351	11.009	0.039	B
5065.86982	10.557	0.042	B
5069.75926	10.568	0.041	B
5072.79435	10.581	0.035	B
5075.75671	10.657	0.04	B
5083.7807	10.542	0.045	B
5085.85527	10.556	0.037	B
5093.70963	10.553	0.038	B
5097.75225	10.562	0.036	B
5099.7442	10.565	0.036	B
5104.695	10.643	0.034	B
5106.6995	10.57	0.04	B
5110.70903	10.613	0.038	B
5118.79374	10.575	0.037	B
5147.64543	10.586	0.04	B
5155.58171	10.572	0.046	B
5165.5571	10.533	0.044	B
5168.56291	10.573	0.043	B
2956.6399	10.566	0.046	B
3362.53842	10.611	0.043	B
3366.55352	10.573	0.046	B
