HJD	MAG	MER_4	GRADE
3616.70499	8.881	0.053	B
3619.57665	8.812	0.048	A
3619.58492	8.886	0.046	B
3621.63251	8.709	0.058	B
3621.64381	8.738	0.055	B
3624.6459	8.709	0.041	A
3624.65417	8.722	0.038	A
3626.65675	8.863	0.043	A
3626.66005	9.056	0.04	A
3629.65546	8.703	0.051	A
3629.65864	8.732	0.048	A
3631.6608	8.714	0.053	B
3631.67103	8.74	0.051	B
3633.67503	8.882	0.05	A
3633.6837	8.897	0.047	A
3637.57711	8.918	0.042	A
3637.58041	8.96	0.04	A
3639.6522	8.737	0.051	A
3639.66205	8.866	0.049	A
3642.62967	8.706	0.041	A
3642.63298	8.733	0.038	A
3644.65767	8.8	0.05	B
3646.57682	8.698	0.039	A
3648.58989	8.759	0.054	B
3649.53967	8.729	0.042	A
3650.64223	9.008	0.039	A
3651.55681	8.705	0.043	A
3653.55982	8.712	0.057	B
3654.58182	8.77	0.046	A
3655.57359	8.829	0.047	A
3656.59781	8.758	0.044	A
3658.55737	8.721	0.054	A
3658.62423	8.743	0.048	B
3660.57573	8.78	0.053	B
3663.51555	8.697	0.053	B
3669.54254	8.73	0.041	A
3669.56262	8.733	0.039	A
3671.57302	8.728	0.041	A
3674.55628	8.726	0.047	B
3832.91171	8.717	0.047	A
3834.89797	8.699	0.049	A
3836.9078	8.78	0.048	A
3850.89497	8.799	0.042	A
3857.89287	8.682	0.054	A
3859.90456	8.728	0.046	B
3864.84477	8.72	0.049	A
3866.85992	8.823	0.046	A
3869.83908	8.707	0.057	B
3869.85196	8.7	0.052	B
3872.84011	8.784	0.045	A
3875.85706	8.729	0.055	B
3880.86856	8.704	0.04	A
3883.89799	8.701	0.049	B
3887.84073	8.737	0.041	A
3891.84073	8.695	0.043	A
3893.8589	8.693	0.041	A
3894.81115	8.806	0.038	A
3896.85158	8.881	0.047	A
3900.79728	8.846	0.056	B
3901.8416	8.805	0.053	B
3902.84999	8.778	0.041	A
3905.78778	8.722	0.049	A
3906.75657	8.821	0.049	A
3908.77896	8.744	0.046	B
3912.78669	8.893	0.051	B
3912.79494	8.82	0.043	A
3981.61174	8.732	0.051	B
4228.84327	8.722	0.037	A
4231.88651	8.724	0.036	A
4234.87516	8.755	0.039	A
4245.85687	8.79	0.072	B
4247.82817	8.72	0.036	A
4253.82889	8.71	0.051	B
4253.86112	8.721	0.04	A
4256.82311	8.899	0.039	A
4256.8389	9.028	0.034	A
4268.7727	8.712	0.043	A
4274.79962	8.87	0.036	A
4277.76504	8.751	0.038	A
4283.7803	8.765	0.048	B
4285.79805	8.912	0.043	A
4291.79107	9.01	0.032	A
4293.77824	8.714	0.032	A
4295.79425	8.737	0.034	A
4297.81486	8.752	0.05	B
4299.76943	8.703	0.034	A
4301.72993	8.796	0.041	A
4303.72915	8.748	0.038	A
4305.71523	8.722	0.035	A
4307.6994	8.898	0.035	A
4309.69016	8.709	0.06	B
4312.71481	8.743	0.046	A
4315.71074	8.731	0.044	A
4329.76204	8.726	0.043	A
4331.66936	8.737	0.032	A
4333.63	8.719	0.036	A
4336.6123	8.809	0.044	A
4340.6483	8.707	0.041	A
4342.64109	8.786	0.049	B
4344.64076	8.681	0.044	A
4346.63879	8.781	0.042	B
4348.64429	8.938	0.038	B
4350.65128	8.716	0.045	B
4353.58203	8.758	0.034	A
4355.66295	8.741	0.034	A
4357.6908	8.739	0.035	A
4362.58297	8.71	0.033	A
4364.57125	8.889	0.034	A
4367.626	8.761	0.043	B
4369.65387	8.724	0.045	A
4371.67512	8.767	0.043	A
4375.54273	8.829	0.035	A
4377.54917	8.749	0.038	B
4379.55224	8.762	0.037	A
4381.59926	8.759	0.039	A
4383.64397	8.778	0.035	A
4386.54853	8.75	0.034	A
4388.53226	8.748	0.036	A
4400.5843	8.819	0.052	B
4408.53017	8.707	0.039	A
4411.55714	8.707	0.04	B
4428.52122	8.754	0.053	B
4559.91539	8.821	0.04	A
4567.90725	8.696	0.038	A
4571.91035	8.797	0.035	A
4575.89561	8.747	0.043	A
4587.89264	8.729	0.034	A
4591.87882	8.701	0.037	A
4594.90548	9.059	0.037	A
4597.89805	8.731	0.034	A
4600.887	8.898	0.04	A
4603.88385	8.721	0.035	A
4607.83025	8.747	0.052	B
4610.82558	8.817	0.037	A
4616.8744	8.702	0.038	A
4621.8385	8.766	0.054	B
4623.88107	8.757	0.039	A
4630.7793	8.73	0.039	A
