HJD	MAG	MER_3	GRADE
2025.79423	9.774	0.031	A
2026.86448	9.791	0.032	A
2030.81482	9.758	0.031	A
2031.83781	9.805	0.034	A
2032.84763	9.78	0.032	A
2037.80458	9.79	0.036	A
2053.78413	9.93	0.033	A
2054.7835	9.783	0.033	A
2055.77883	9.779	0.031	A
2056.78231	9.798	0.033	A
2057.76705	9.796	0.033	A
2061.7919	9.786	0.031	A
2065.73849	9.784	0.035	A
2080.67362	9.781	0.035	A
2081.72104	9.833	0.031	A
2082.72108	9.803	0.035	A
2083.7119	9.773	0.039	A
2085.71231	9.786	0.034	A
2086.71616	9.792	0.034	A
2087.70417	9.778	0.031	A
2088.70546	9.787	0.033	A
2103.67155	9.787	0.031	A
2104.66644	9.788	0.031	A
2105.66069	9.787	0.033	A
2106.66834	9.803	0.03	A
2114.75334	9.784	0.029	A
2115.65082	9.769	0.031	A
2116.63398	9.787	0.029	A
2117.63435	9.789	0.031	A
2128.59292	9.791	0.03	A
2129.60989	9.79	0.034	A
2130.60999	9.785	0.032	A
2131.60251	9.789	0.033	A
2132.60842	9.79	0.032	A
2133.60481	9.777	0.03	A
2135.59951	9.787	0.039	A
2136.599	9.782	0.031	A
2140.58127	9.78	0.034	A
2141.58839	9.862	0.03	A
2143.58312	9.802	0.033	A
2145.56965	9.785	0.032	A
2443.72683	9.779	0.027	A
2464.68045	9.771	0.032	A
2465.67966	9.948	0.033	A
2467.6695	9.78	0.029	A
2470.62982	9.779	0.035	A
2489.65586	9.787	0.032	A
2490.58742	9.784	0.036	A
2495.60961	9.791	0.038	A
2497.60916	9.809	0.029	A
2498.60179	9.82	0.031	A
2499.59536	9.796	0.028	A
2501.60362	9.773	0.03	A
2502.60819	9.785	0.04	A
2503.60386	9.788	0.036	A
2526.50536	9.78	0.035	A
2544.65237	9.784	0.028	A
2546.56951	9.82	0.028	A
2548.56358	9.781	0.026	A
2562.50882	9.775	0.028	A
2563.57176	9.791	0.029	A
2710.88231	9.793	0.036	A
2713.89959	9.779	0.033	A
2730.85569	9.774	0.028	A
2734.83289	9.783	0.029	A
2736.8856	9.953	0.034	A
2739.84769	9.782	0.028	A
2747.90092	9.782	0.041	A
2754.84706	9.785	0.031	A
2756.88092	9.773	0.027	A
2758.86616	9.789	0.027	A
2760.88024	9.765	0.027	A
2764.83174	9.801	0.025	A
2786.79122	9.776	0.027	A
2790.80002	9.775	0.034	A
2808.87098	9.785	0.03	A
2812.70192	9.795	0.029	A
2814.88555	9.797	0.031	A
2819.75385	9.774	0.028	A
2821.74099	9.794	0.038	A
2829.69273	9.777	0.04	A
2830.79103	9.781	0.027	A
2835.7194	9.798	0.031	A
2838.71039	9.783	0.026	A
2854.83475	9.78	0.025	A
2858.62289	9.781	0.024	A
2867.5798	9.784	0.027	A
2872.73303	9.802	0.027	A
2875.73649	9.784	0.028	A
2877.70457	9.954	0.028	A
2879.77406	9.772	0.031	A
2883.53565	9.791	0.026	A
2884.70731	9.894	0.027	A
2886.54828	9.766	0.032	A
2892.72201	9.786	0.034	A
2894.61941	9.785	0.029	A
2896.63107	9.773	0.03	A
2898.61394	9.782	0.028	A
2900.60871	9.779	0.028	A
2904.59573	9.798	0.036	A
2906.59884	9.773	0.026	A
2909.62105	9.802	0.028	A
2911.57185	9.783	0.027	A
2917.62416	9.783	0.033	A
2921.62222	9.793	0.033	A
2923.60812	9.939	0.032	A
2926.6014	9.793	0.029	A
2928.6038	9.794	0.03	A
2930.59979	9.951	0.029	A
2932.59267	9.774	0.03	A
2934.58839	9.783	0.028	A
2939.59238	9.776	0.028	A
2945.52446	9.783	0.033	A
2947.57459	9.785	0.033	A
2950.55837	9.803	0.035	A
2953.53737	9.784	0.037	A
2955.5517	9.777	0.029	A
2958.52124	9.778	0.027	A
2963.51993	9.775	0.033	A
2965.53557	9.8	0.03	A
3076.8954	9.802	0.032	A
3082.88956	9.807	0.035	A
3088.8868	9.792	0.035	A
3092.88197	9.787	0.033	A
3097.90115	9.775	0.03	A
3101.88629	9.783	0.037	A
3109.87047	9.776	0.031	A
3113.85061	9.815	0.032	A
3125.86293	9.777	0.033	A
3128.84852	9.784	0.031	A
3131.81919	9.81	0.036	A
3142.81168	9.769	0.027	A
3154.70938	9.807	0.028	A
3157.83221	9.783	0.036	A
3166.75736	9.785	0.028	A
3169.73801	9.769	0.029	A
3176.73917	9.787	0.027	A
3177.70846	9.79	0.031	A
3179.72521	9.8	0.028	A
3182.73	9.792	0.027	A
3186.77316	9.779	0.035	A
3275.66344	9.991	0.036	A
3278.56629	9.792	0.035	A
3452.91304	9.778	0.033	A
3622.53355	9.775	0.043	A
3630.65768	9.755	0.036	A
3663.51953	9.783	0.033	A
2490.58742	9.76	0.046	A
2727.91146	9.763	0.042	A
2853.61161	9.774	0.037	A
2894.61941	9.767	0.043	A
3177.70846	9.771	0.047	A
2156.57241	9.79	0.046	A
2167.51575	9.766	0.043	A
2169.52986	9.793	0.048	A
2172.52123	9.79	0.042	A
2180.50843	9.949	0.044	A
2184.48833	9.787	0.041	A
2187.50599	9.985	0.04	A
2190.512	9.778	0.038	A
2192.55693	9.797	0.041	A
2194.56039	9.982	0.043	A
2197.50904	9.78	0.042	A
2201.49463	9.9	0.041	A
3430.89696	9.796	0.044	A
3444.90886	9.953	0.052	A
3452.91304	9.779	0.052	A
3459.87004	9.796	0.041	A
3465.86634	9.96	0.045	A
3468.89436	9.777	0.039	A
3472.90439	9.971	0.048	A
3476.87287	9.784	0.044	A
3480.85319	9.767	0.05	A
3483.8804	9.784	0.042	A
3487.90733	9.773	0.042	A
3496.87068	9.791	0.037	A
3500.85691	9.757	0.044	A
3503.82617	9.768	0.039	A
3506.87424	9.8	0.042	A
3509.89985	9.779	0.04	A
3512.79166	9.778	0.041	A
3522.79841	9.78	0.049	A
3524.84258	9.781	0.049	A
3539.73422	9.887	0.048	A
3550.76233	9.795	0.045	A
3555.85139	9.788	0.044	A
3559.69653	9.791	0.046	A
3563.78784	9.791	0.045	A
3568.81634	9.773	0.044	A
3570.68103	9.776	0.042	A
3573.72081	9.788	0.046	A
3575.73408	9.795	0.044	A
3581.82732	9.77	0.049	A
3584.63556	9.794	0.045	A
3586.65173	9.755	0.047	A
3592.80287	9.83	0.046	A
3596.66375	9.794	0.045	A
3603.61855	9.792	0.043	A
3606.62019	9.864	0.043	A
3616.57595	9.771	0.043	A
3622.72309	9.773	0.045	A
3628.54076	9.781	0.043	A
3632.62401	9.784	0.047	A
3634.6568	9.788	0.044	A
3637.65982	9.79	0.046	A
3641.60672	9.801	0.042	A
3643.65967	9.787	0.05	A
3647.57036	9.777	0.04	A
3658.56131	9.786	0.05	A
3660.57966	9.789	0.049	A
3669.52584	9.778	0.041	A
3671.56388	9.769	0.043	A
3674.54911	9.789	0.047	A
3795.89754	9.758	0.05	A
3799.89851	9.807	0.049	A
3805.90115	9.788	0.046	A
3809.90691	9.78	0.053	A
3813.89846	9.788	0.05	A
3820.89934	9.783	0.05	A
3824.88587	9.786	0.049	A
3828.87518	9.784	0.045	A
3832.86147	9.772	0.046	A
3836.86518	9.781	0.05	A
3858.82435	9.779	0.05	A
3861.83318	9.789	0.044	A
3867.86536	9.797	0.045	A
3877.81016	9.878	0.044	A
3880.89185	9.78	0.044	A
3886.83472	9.768	0.045	A
3889.77653	9.803	0.043	A
3891.80516	9.785	0.043	A
3893.81554	9.769	0.041	A
3896.80865	9.804	0.045	A
3903.8043	9.79	0.044	A
3908.74076	9.752	0.046	A
3912.75786	9.78	0.045	A
4160.8995	9.764	0.046	A
4176.89344	9.777	0.049	A
4180.8907	9.841	0.051	A
4189.91362	9.772	0.038	A
4193.86165	9.775	0.041	A
4203.90107	9.78	0.042	A
4213.92495	9.833	0.05	A
4230.89041	9.778	0.039	A
4247.80262	9.88	0.04	A
4253.79744	9.788	0.043	A
4258.73815	9.774	0.041	A
4266.78704	9.773	0.041	A
4269.73712	9.797	0.042	A
4273.74041	9.781	0.043	A
4276.73457	9.766	0.041	A
4278.72542	9.79	0.042	A
4284.74515	9.787	0.043	A
4292.7209	9.773	0.037	A
4296.72858	9.775	0.047	A
4298.73725	9.805	0.045	A
4302.75219	9.777	0.039	A
4304.67214	9.77	0.039	A
4306.6825	9.792	0.039	A
4315.66933	9.777	0.044	A
4329.61846	9.785	0.043	A
4331.61738	9.775	0.043	A
4333.58144	9.772	0.038	A
