HJD	MAG	MER_2	GRADE
2868.52494	10.464	0.027	A
2868.52716	10.446	0.027	A
2868.52937	10.473	0.025	A
2868.53159	10.462	0.036	A
2868.5338	10.445	0.027	A
2868.53601	10.443	0.026	A
2868.53822	10.468	0.024	A
2868.54043	10.452	0.025	A
2868.54265	10.435	0.024	A
2868.54486	10.46	0.026	A
2868.54707	10.463	0.025	A
2868.54928	10.435	0.024	A
2868.55149	10.463	0.025	A
2868.55371	10.445	0.025	A
2868.55864	10.455	0.025	A
2868.5639	10.449	0.026	A
2868.57391	10.462	0.025	A
2868.58616	10.455	0.028	A
2868.59717	10.432	0.03	A
2758.87316	10.453	0.026	A
2765.82596	10.472	0.027	A
2815.84285	10.5	0.029	A
2821.71887	10.44	0.026	A
2830.78224	10.439	0.029	A
2838.74561	10.491	0.031	A
2843.65729	10.398	0.037	A
2855.62564	10.427	0.031	A
2860.62254	10.455	0.026	A
2861.71468	10.445	0.028	A
2875.67599	10.444	0.025	A
2877.66036	10.459	0.024	A
2883.5467	10.467	0.025	A
2885.54627	10.427	0.026	A
2888.56675	10.434	0.025	A
2893.55353	10.467	0.027	A
2895.55928	10.455	0.025	A
2897.57117	10.448	0.025	A
2901.5587	10.777	0.038	A
2908.55679	10.47	0.027	A
2910.55248	10.443	0.025	A
2912.54723	10.423	0.025	A
2915.55463	10.438	0.027	A
2918.56364	10.726	0.029	A
2922.53381	10.426	0.027	A
2924.53912	10.452	0.027	A
2927.54061	10.451	0.026	A
2930.50978	10.468	0.027	A
2932.51577	10.449	0.026	A
2935.50478	10.473	0.027	A
3115.90566	10.564	0.031	A
3122.91683	10.454	0.026	A
3133.83642	10.486	0.035	A
3153.88242	10.441	0.025	A
3162.80705	10.466	0.028	A
3170.76963	10.434	0.028	A
3176.80359	10.489	0.039	A
3182.71855	10.479	0.026	A
3184.72167	11.006	0.027	A
2724.91184	10.445	0.03	A
2726.90939	10.468	0.029	A
2730.89465	10.452	0.029	A
2734.8911	10.449	0.032	A
2737.89082	10.491	0.034	A
2740.89111	10.467	0.029	A
2743.89135	10.93	0.028	A
2755.86276	10.473	0.026	A
2757.88744	10.492	0.026	A
2760.85361	10.453	0.028	A
2764.86871	10.46	0.026	A
2786.80375	10.47	0.025	A
2790.81758	10.556	0.033	A
2805.87318	10.424	0.033	A
2809.7602	10.468	0.026	A
2810.88062	10.469	0.027	A
2812.7371	10.749	0.025	A
2816.80445	10.467	0.027	A
2819.83924	10.581	0.033	A
2821.74778	10.477	0.029	A
2830.80191	10.508	0.039	A
2832.67759	10.688	0.028	A
2843.67573	10.437	0.033	A
2853.61279	10.471	0.032	A
2858.68908	10.476	0.027	A
2860.63659	10.459	0.026	A
2866.66046	10.468	0.025	A
2872.66239	10.475	0.026	A
2875.67169	10.491	0.025	A
2877.65608	10.451	0.025	A
2879.67057	10.473	0.026	A
2883.55681	10.44	0.026	A
2885.54914	10.461	0.025	A
2888.56964	10.469	0.028	A
2893.55646	10.466	0.029	A
2897.57656	10.454	0.027	A
2901.56169	10.799	0.045	A
2904.6203	10.487	0.037	A
2906.61841	10.486	0.026	A
2910.49644	10.439	0.027	A
2912.51968	10.451	0.027	A
2915.54599	10.447	0.026	A
2917.57158	10.489	0.027	A
2921.57105	10.463	0.029	A
2923.56816	10.787	0.03	A
2926.5689	10.478	0.028	A
2929.50747	10.497	0.026	A
2931.52314	10.5	0.028	A
2933.52968	11.063	0.027	A
2935.53096	10.458	0.028	A
2942.51432	10.497	0.029	A
3108.89159	10.484	0.038	A
3112.89518	10.464	0.045	A
3122.91869	10.474	0.028	A
3131.90485	10.483	0.032	A
3142.83945	10.974	0.029	A
3146.81914	10.495	0.031	A
3153.89767	10.481	0.028	A
3156.81395	10.463	0.04	A
3162.82231	10.475	0.028	A
3164.85234	10.597	0.028	A
3170.78463	10.453	0.031	A
3173.75685	10.481	0.042	A
3179.82187	10.963	0.029	A
3182.75939	10.47	0.028	A
3184.74069	10.972	0.031	A
3187.71299	10.479	0.033	A
3190.72982	10.469	0.039	A
3271.59833	10.473	0.037	A
3273.62252	10.447	0.032	A
3279.53415	10.473	0.032	A
3294.52655	10.466	0.031	A
3298.53454	10.473	0.039	A
3457.90602	10.582	0.038	A
3464.89251	10.487	0.035	A
3468.89652	10.465	0.031	A
3472.91498	10.82	0.032	A
3476.89411	10.493	0.041	A
3479.89736	10.47	0.038	A
3487.87159	10.454	0.033	A
3490.86344	10.462	0.037	A
3499.84383	10.779	0.037	A
3502.82681	10.471	0.04	A
3508.92227	10.477	0.03	A
3511.80421	10.477	0.031	A
3515.80587	10.485	0.034	A
3524.76521	10.463	0.037	A
3526.85439	10.519	0.037	A
3529.76494	10.473	0.037	A
3538.75049	10.475	0.03	A
3543.71636	10.453	0.034	A
3550.80649	10.482	0.037	A
3553.70233	10.467	0.031	A
3555.82022	10.45	0.03	A
3559.67736	10.446	0.041	A
3561.69423	10.488	0.032	A
3563.68177	10.494	0.032	A
3569.74139	10.473	0.031	A
3571.74111	10.462	0.033	A
3574.75788	10.464	0.033	A
3576.77304	10.462	0.033	A
3587.76093	10.481	0.032	A
3590.60597	10.485	0.032	A
3596.66566	10.481	0.033	A
3602.64749	10.581	0.037	A
3617.60575	10.467	0.04	A
3620.52562	10.792	0.034	A
3622.59798	10.494	0.035	A
3626.59876	10.475	0.031	A
3629.62377	10.499	0.039	A
3631.61983	10.446	0.039	A
3634.57397	10.485	0.041	A
3637.60225	10.483	0.034	A
3641.55257	10.478	0.032	A
3643.60036	10.478	0.039	A
3647.54829	10.598	0.029	A
3650.51233	10.492	0.038	A
3657.55658	11.111	0.039	A
3668.5277	10.498	0.031	A
3671.51923	10.462	0.034	A
3678.5017	10.462	0.039	A
3820.91289	10.48	0.04	A
3828.91142	10.474	0.036	A
3832.90696	10.466	0.037	A
3836.90407	10.51	0.039	A
3848.89376	10.473	0.047	A
3851.87458	10.473	0.042	A
3860.84549	10.452	0.034	A
3862.85617	10.475	0.034	A
3864.83259	10.443	0.034	A
3866.83429	10.867	0.034	A
3868.84189	10.497	0.038	A
3870.80691	10.456	0.035	A
3872.82926	10.477	0.035	A
3880.8054	10.471	0.034	A
3883.80525	10.479	0.034	A
3887.79183	10.461	0.037	A
3892.754	10.475	0.032	A
3894.7555	10.478	0.031	A
3900.73853	10.457	0.038	A
3902.7552	10.456	0.033	A
3907.71561	10.46	0.036	A
4191.90637	10.823	0.034	A
4204.91675	10.494	0.033	A
4208.90738	10.467	0.042	A
4215.88773	10.48	0.034	A
4227.84418	10.454	0.032	A
4229.85649	10.475	0.032	A
4232.82252	10.471	0.03	A
4235.81502	10.461	0.03	A
4247.7844	10.443	0.031	A
4253.77396	10.466	0.033	A
4256.76547	10.471	0.03	A
4272.72312	10.449	0.032	A
4274.7368	10.474	0.029	A
4277.71592	10.441	0.029	A
4283.78634	10.489	0.038	A
4285.77519	10.488	0.035	A
4289.76757	10.506	0.032	A
4291.76889	10.466	0.03	A
4293.75598	10.468	0.029	A
4295.7638	10.454	0.031	A
4299.75076	10.481	0.031	A
4301.73551	10.457	0.032	A
4303.72624	10.611	0.03	A
4305.72634	10.458	0.03	A
4307.64828	10.87	0.031	A
4309.71566	10.48	0.034	A
4311.72131	10.433	0.037	A
4314.76144	10.449	0.041	A
4317.59541	11.013	0.028	A
4330.58083	10.471	0.029	A
4332.58014	10.444	0.031	A
4334.64725	10.554	0.029	A
4338.6361	10.462	0.033	A
4340.68816	10.431	0.036	A
4342.68166	10.471	0.035	A
4345.51989	10.448	0.036	A
4347.53543	10.512	0.033	A
4349.60629	10.894	0.041	A
4351.6058	10.463	0.037	A
4354.59653	11.03	0.03	A
4356.61858	10.463	0.033	A
4358.62287	10.463	0.032	A
4360.58219	10.468	0.033	A
4362.61887	10.474	0.03	A
4364.59204	10.45	0.031	A
4368.56791	10.51	0.037	A
4372.59012	10.412	0.041	A
4378.5579	10.472	0.034	A
4381.52708	10.808	0.04	A
4383.58087	10.439	0.034	A
4386.53908	11.026	0.03	A
4388.52282	10.474	0.03	A
4392.53239	10.463	0.039	A
4403.51139	10.447	0.036	A
4409.50795	10.447	0.035	A
4557.90375	10.454	0.032	A
4561.90606	10.434	0.031	A
4565.90708	10.479	0.029	A
4569.91255	10.429	0.031	A
4573.8961	10.46	0.03	A
4577.88615	10.456	0.035	A
4583.90282	10.482	0.031	A
4587.86303	10.473	0.035	A
4590.8656	10.809	0.036	A
4593.85477	10.455	0.029	A
4596.84722	10.457	0.033	A
4601.8455	10.463	0.029	A
4606.91065	10.435	0.035	A
4609.82609	10.444	0.034	A
4611.85259	10.443	0.034	A
4616.87782	10.5	0.039	A
4623.78079	10.477	0.033	A
4627.79695	10.809	0.032	A
4629.7823	10.459	0.03	A
4631.78566	10.475	0.032	A
4633.77563	10.462	0.036	A
4641.72648	10.433	0.032	A
4643.75496	10.47	0.036	A
4645.78645	10.452	0.031	A
4647.8513	10.44	0.032	A
4650.70531	10.477	0.033	A
4652.73459	10.798	0.029	A
4654.72757	10.482	0.03	A
4656.71623	10.434	0.03	A
4660.68723	10.472	0.03	A
4662.69968	10.457	0.034	A
4664.70043	10.676	0.033	A
4666.72263	10.438	0.032	A
4670.67736	10.458	0.032	A
4672.7013	10.449	0.03	A
4681.651	10.451	0.04	A
4683.64832	10.479	0.035	A
4685.63766	10.492	0.036	A
4687.63805	10.445	0.03	A
4694.67829	10.46	0.038	A
4698.63557	10.469	0.034	A
4700.63314	10.426	0.033	A
4702.64293	10.42	0.033	A
4704.63256	10.46	0.037	A
4706.66701	11.068	0.032	A
4709.6235	10.442	0.038	A
4716.58684	10.943	0.031	A
4720.62313	10.493	0.034	A
4722.65268	10.468	0.036	A
4726.55186	10.52	0.035	A
4729.54534	10.455	0.032	A
4731.5816	10.491	0.043	A
4734.61211	10.475	0.033	A
4739.53031	10.438	0.032	A
4742.52004	10.45	0.035	A
4744.53366	10.421	0.035	A
4746.54765	9.974	0.037	A
4748.57316	10.878	0.037	A
4755.5286	10.486	0.033	A
4758.52957	10.589	0.036	A
4761.51916	10.484	0.035	A
4764.5166	10.486	0.034	A
4767.51231	10.496	0.037	A
4936.89886	10.456	0.047	A
4947.90537	10.684	0.041	A
4950.89387	10.474	0.049	A
4961.83929	10.457	0.046	A
4975.81617	10.465	0.05	A
4985.76823	10.424	0.043	A
5014.73662	10.491	0.042	A
5021.77463	10.629	0.045	A
5042.70069	10.461	0.047	A
5047.73193	10.485	0.044	A
5071.55985	10.468	0.045	A
5084.59472	10.476	0.042	A
5098.54401	10.459	0.044	A
5111.53743	10.466	0.043	A
2868.56873	10.461	0.052	B
2853.61279	10.445	0.051	B
3080.91022	10.421	0.05	B
3093.90838	10.465	0.045	B
3130.85587	10.446	0.042	B
3142.80852	10.928	0.042	B
3146.78848	10.446	0.043	B
3177.71614	10.451	0.042	B
2783.77698	10.465	0.044	B
3104.91631	10.461	0.051	B
3116.88964	10.454	0.054	B
3125.85154	10.496	0.055	B
3159.7745	10.481	0.054	B
3177.71614	10.469	0.052	B
3276.58872	10.492	0.047	B
3504.84059	11.022	0.053	B
3983.60821	10.473	0.051	B
4238.81328	10.98	0.047	B
4245.80891	10.457	0.048	B
4638.86984	10.449	0.054	B
4678.72159	10.477	0.051	B
4691.62987	10.432	0.05	B
4940.88418	10.469	0.049	B
4966.81024	10.431	0.05	B
4989.78394	10.685	0.05	B
4994.82772	10.958	0.049	B
5006.8195	10.446	0.05	B
5017.72538	10.483	0.051	B
5019.74056	10.467	0.051	B
5023.79732	10.447	0.044	B
5038.76135	10.474	0.05	B
5040.72954	10.439	0.045	B
5049.74706	10.492	0.05	B
5057.6347	10.429	0.052	B
5063.6414	10.594	0.045	B
5068.58907	10.664	0.05	B
5075.58493	10.784	0.046	B
5086.60448	10.524	0.053	B
5088.61905	10.474	0.048	B
5093.55512	10.487	0.053	B
5106.49915	10.427	0.052	B
5122.54905	10.445	0.053	B
