HJD	MAG	MER_3	GRADE
2696.85099	9.616	0.049	A
2782.66905	9.618	0.034	A
2783.89406	9.615	0.052	A
1925.84845	9.618	0.048	A
1926.87475	9.609	0.046	A
1930.84511	9.631	0.043	A
1932.85131	9.632	0.042	A
1936.88661	9.613	0.044	A
1939.83426	9.617	0.043	A
1946.82377	9.626	0.046	A
1950.82039	9.613	0.039	A
1953.80691	9.645	0.037	A
1954.82441	9.629	0.038	A
1955.83654	9.611	0.034	A
1958.89303	9.706	0.037	A
1962.7611	9.59	0.039	A
1963.89679	9.606	0.04	A
1965.78744	9.615	0.036	A
1967.79194	9.676	0.037	A
1971.8938	9.61	0.04	A
1978.7925	9.644	0.045	A
1980.76337	9.575	0.044	A
1981.78951	9.923	0.044	A
1983.90166	9.655	0.047	A
1985.79477	9.558	0.048	A
2085.57807	9.62	0.047	A
2104.55889	9.653	0.051	A
2115.50839	9.968	0.049	A
2116.52085	9.625	0.045	A
2117.51063	9.671	0.054	A
2141.50986	9.619	0.053	A
2156.54534	9.598	0.055	A
2173.48314	9.614	0.049	A
2179.49697	9.599	0.041	A
2440.60395	9.623	0.031	A
2441.60496	9.602	0.031	A
2442.59451	9.588	0.041	A
2443.59432	9.621	0.028	A
2445.57883	9.804	0.043	A
2452.5637	9.587	0.04	A
2454.57823	9.6	0.039	A
2456.56479	9.635	0.031	A
2459.57472	9.602	0.041	A
2463.55971	9.596	0.029	A
2464.55415	9.602	0.032	A
2465.5579	9.884	0.034	A
2466.55178	9.615	0.032	A
2467.55442	9.628	0.03	A
2468.54896	10.01	0.032	A
2473.49167	9.594	0.038	A
2490.49215	9.611	0.036	A
2495.49371	9.636	0.044	A
2497.50794	9.627	0.038	A
2499.47847	9.614	0.038	A
2502.53843	9.897	0.039	A
2503.54753	9.586	0.042	A
2509.54197	9.604	0.048	A
2511.51909	9.593	0.052	A
2512.55018	9.603	0.036	A
2519.58393	9.856	0.043	A
2520.57998	9.623	0.035	A
2521.58963	9.615	0.04	A
2524.57767	9.61	0.044	A
2535.49442	9.596	0.037	A
2544.52492	9.625	0.035	A
2546.52651	9.623	0.045	A
2548.51311	9.63	0.036	A
2553.51018	9.63	0.039	A
2558.51068	9.632	0.036	A
2565.49107	9.606	0.038	A
2568.4922	9.629	0.039	A
2639.86846	9.622	0.057	A
2645.86466	9.602	0.042	A
2651.8616	9.607	0.042	A
2658.83928	9.604	0.04	A
2661.84422	9.749	0.04	A
2664.8393	10.017	0.038	A
2667.86161	9.748	0.046	A
2671.84277	9.617	0.04	A
2678.82555	9.627	0.042	A
2681.81676	9.817	0.037	A
2683.83473	9.626	0.036	A
2685.84711	9.626	0.038	A
2689.85008	9.614	0.044	A
2692.84991	9.626	0.04	A
2696.85099	9.627	0.041	A
2697.87333	9.602	0.038	A
2700.83758	9.615	0.041	A
2703.78941	9.615	0.037	A
2709.81283	9.599	0.044	A
2711.81107	9.603	0.044	A
2713.80298	9.627	0.053	A
2715.80079	9.61	0.04	A
2719.77778	9.602	0.039	A
2723.78692	9.607	0.055	A
2725.76914	9.586	0.049	A
2727.78664	9.602	0.045	A
2731.88319	9.618	0.046	A
2734.73232	9.602	0.043	A
2736.75086	9.631	0.053	A
2740.7699	9.608	0.038	A
2742.72142	9.616	0.05	A
2744.74192	9.651	0.052	A
2747.79659	9.64	0.051	A
2750.83918	9.623	0.043	A
2752.727	9.586	0.049	A
2755.71647	9.669	0.037	A
2757.69508	9.616	0.044	A
2759.76283	9.59	0.046	A
2761.7024	9.842	0.042	A
2763.67368	9.617	0.036	A
2766.74751	9.617	0.039	A
2775.71793	9.852	0.046	A
2782.70294	9.602	0.051	A
2783.89406	9.623	0.05	A
2785.73327	9.613	0.038	A
2787.69208	9.621	0.041	A
2790.72038	9.607	0.037	A
2794.61456	9.617	0.042	A
2804.67034	9.62	0.041	A
2809.8164	9.709	0.043	A
2811.68467	9.609	0.036	A
2812.83004	9.999	0.046	A
2816.81663	9.623	0.045	A
2826.60574	9.615	0.03	A
2830.72543	9.639	0.058	A
2832.57162	9.688	0.039	A
2833.6937	9.625	0.041	A
2838.58142	9.814	0.036	A
2840.63525	9.637	0.042	A
2842.61264	9.614	0.035	A
2845.62192	9.671	0.032	A
2851.54878	9.617	0.035	A
2853.6731	9.61	0.032	A
2855.59122	9.982	0.033	A
2858.65097	9.615	0.036	A
2860.60832	9.629	0.04	A
2866.58097	9.612	0.04	A
2868.64178	9.612	0.038	A
2872.64215	10.029	0.038	A
2875.65132	9.654	0.05	A
2877.63798	9.607	0.047	A
2879.65004	9.614	0.046	A
2883.50566	9.635	0.041	A
2885.52222	9.644	0.048	A
2888.54943	9.628	0.042	A
2894.54402	9.622	0.045	A
2896.56733	9.611	0.043	A
2898.55792	9.617	0.043	A
2900.54993	9.615	0.043	A
2904.53956	9.636	0.054	A
2906.53792	9.652	0.049	A
2909.53941	9.935	0.047	A
2911.51819	9.604	0.041	A
2916.52945	9.607	0.044	A
2921.49114	9.606	0.051	A
2923.51046	9.62	0.043	A
2927.49771	9.621	0.038	A
2930.49429	9.613	0.04	A
3010.86411	9.632	0.05	A
3019.86305	9.605	0.048	A
3032.85005	9.631	0.043	A
3036.84096	9.613	0.042	A
3042.84711	9.621	0.039	A
3059.82139	9.621	0.04	A
3063.83111	9.626	0.048	A
3067.87235	9.61	0.038	A
3070.82617	9.614	0.037	A
3073.84688	9.619	0.039	A
3079.82814	9.622	0.041	A
3082.8065	9.599	0.05	A
3086.83865	9.609	0.034	A
3089.79455	9.616	0.04	A
3092.77392	9.589	0.036	A
3100.79842	9.61	0.042	A
3102.82332	9.627	0.041	A
3104.85916	9.619	0.047	A
3107.73544	9.624	0.038	A
3109.80852	9.605	0.048	A
3112.72735	9.611	0.039	A
3114.7896	9.628	0.034	A
3116.83259	9.614	0.042	A
3121.76485	9.592	0.034	A
3125.72584	9.722	0.042	A
3127.70977	9.617	0.049	A
3129.74718	9.619	0.04	A
3131.77003	9.658	0.044	A
3133.77218	9.603	0.035	A
3144.8064	9.603	0.033	A
3156.78157	9.623	0.044	A
3159.61368	9.625	0.046	A
3162.65637	9.653	0.039	A
3164.6789	9.611	0.038	A
3166.81172	9.619	0.043	A
3169.57901	9.601	0.036	A
3171.82333	9.573	0.055	A
3175.79016	9.609	0.041	A
3178.58835	9.62	0.04	A
3183.67072	9.62	0.042	A
3185.64791	10.102	0.037	A
3187.67868	9.603	0.045	A
3387.87079	9.706	0.057	A
3391.8657	9.661	0.056	A
3396.85006	9.638	0.052	A
3399.86727	9.623	0.053	A
3403.86827	9.634	0.05	A
3406.88354	9.646	0.046	A
3410.84947	9.62	0.051	A
3413.86887	9.625	0.057	A
3417.83565	9.613	0.052	A
3420.87308	9.611	0.048	A
3426.83444	9.662	0.054	A
3432.84652	9.638	0.05	A
3436.86247	9.739	0.043	A
3443.84585	9.616	0.047	A
3446.81008	9.616	0.04	A
3450.79134	9.613	0.037	A
3454.84733	9.609	0.039	A
3456.83177	9.598	0.038	A
3458.85022	10.1	0.048	A
3464.76711	9.633	0.042	A
3467.76814	9.622	0.038	A
3470.74938	9.638	0.044	A
3475.74774	9.751	0.061	A
3479.79398	9.626	0.047	A
3481.77485	9.758	0.044	A
3487.73981	9.63	0.041	A
3490.75633	9.617	0.054	A
3492.75614	9.639	0.051	A
3496.75068	9.613	0.033	A
3499.76023	9.614	0.05	A
3508.71482	9.613	0.034	A
3510.7693	9.638	0.04	A
3512.67989	9.606	0.036	A
3516.67437	9.637	0.046	A
3521.79882	9.639	0.055	A
3525.82407	9.618	0.045	A
3530.59561	9.645	0.045	A
3537.7292	9.601	0.046	A
3547.59628	9.615	0.044	A
3554.61578	9.609	0.04	A
3556.66859	9.624	0.053	A
3561.75845	9.615	0.046	A
3563.62965	9.625	0.043	A
3569.59316	9.612	0.041	A
3571.65185	9.607	0.042	A
3574.65935	9.619	0.038	A
3576.67321	9.635	0.048	A
3578.66477	9.63	0.045	A
3583.57857	9.623	0.048	A
3585.6364	9.623	0.051	A
3587.65201	9.616	0.041	A
3589.68075	9.987	0.046	A
3592.52726	9.947	0.046	A
3597.62547	9.597	0.053	A
3603.60336	9.624	0.046	A
3606.59873	9.639	0.042	A
3616.5328	9.611	0.046	A
3619.51054	9.614	0.052	A
3624.58877	9.624	0.039	A
3628.58203	9.609	0.04	A
3631.51581	9.619	0.046	A
3633.53548	9.615	0.055	A
3641.50961	9.648	0.049	A
3643.54732	9.624	0.043	A
3647.51899	9.609	0.038	A
3650.49964	9.631	0.041	A
3652.5202	9.755	0.049	A
3657.50749	9.614	0.05	A
3660.49544	9.628	0.053	A
3753.85477	9.634	0.054	A
3757.85223	9.696	0.051	A
3760.86629	9.624	0.05	A
3769.87082	9.643	0.057	A
3796.82298	9.624	0.044	A
3800.81566	9.626	0.053	A
3803.85538	9.625	0.056	A
3806.832	9.635	0.049	A
3809.85382	9.631	0.053	A
3812.80549	9.809	0.051	A
3817.85992	9.638	0.046	A
3820.80342	9.639	0.051	A
3823.79131	9.618	0.054	A
3826.76624	9.611	0.048	A
3829.77006	9.613	0.043	A
3831.83587	9.668	0.049	A
3836.81239	9.644	0.05	A
3849.78025	9.614	0.046	A
3851.82446	9.632	0.049	A
3856.75951	9.598	0.047	A
3861.68267	9.624	0.046	A
3863.72465	9.601	0.044	A
3865.73436	9.974	0.047	A
3867.73887	9.61	0.047	A
3869.75027	9.617	0.053	A
3871.76289	9.609	0.044	A
3877.64336	9.627	0.046	A
3880.69806	9.628	0.041	A
3882.74054	9.767	0.047	A
3886.7431	9.616	0.041	A
3894.68727	9.615	0.039	A
3899.79701	9.795	0.057	A
3901.85271	9.636	0.053	A
3904.56595	9.621	0.045	A
3906.62434	9.625	0.044	A
4126.86563	9.604	0.038	A
4134.83694	9.632	0.044	A
4142.83186	9.601	0.04	A
4146.82754	9.601	0.042	A
4150.87503	9.625	0.041	A
4153.85932	9.625	0.038	A
4157.81914	9.628	0.04	A
4160.85076	9.613	0.04	A
4164.80527	9.707	0.049	A
4167.83497	9.632	0.043	A
4181.79819	9.904	0.048	A
4184.78581	9.61	0.044	A
4188.80216	9.609	0.034	A
4190.85035	9.638	0.035	A
4192.7929	9.623	0.036	A
4198.72692	10.341	0.053	A
4202.75558	9.615	0.035	A
4204.8092	9.618	0.035	A
4207.8575	9.614	0.038	A
4212.81839	9.684	0.045	A
4215.78842	10.017	0.037	A
4228.75402	9.621	0.035	A
4230.75098	9.611	0.034	A
4232.74933	9.734	0.035	A
4234.74514	9.623	0.037	A
4246.67299	9.628	0.033	A
4250.62733	9.609	0.034	A
4253.76391	9.614	0.04	A
4258.59873	9.922	0.035	A
4272.60756	9.76	0.035	A
4274.62116	9.61	0.031	A
4276.7752	9.618	0.037	A
4284.76868	9.639	0.038	A
4290.75623	9.614	0.034	A
4292.70869	9.983	0.034	A
4296.70942	9.61	0.044	A
4298.71792	9.618	0.041	A
4300.61321	9.591	0.041	A
4302.65815	9.614	0.036	A
4304.5884	9.629	0.032	A
4306.69633	9.644	0.034	A
4308.69297	9.626	0.053	A
4310.72814	9.615	0.037	A
4314.49922	9.595	0.049	A
4316.57171	9.605	0.034	A
4319.61896	9.628	0.034	A
4329.54074	9.788	0.042	A
4331.54267	9.614	0.033	A
4334.50489	9.62	0.033	A
4338.50731	9.624	0.031	A
4340.56874	9.622	0.038	A
4342.57342	9.62	0.038	A
4344.57042	9.607	0.041	A
4346.56932	9.686	0.036	A
4348.57458	9.654	0.037	A
4352.5845	9.802	0.033	A
4355.57359	9.632	0.036	A
4357.58355	9.62	0.034	A
4359.54771	9.613	0.036	A
4361.53774	9.6	0.033	A
4363.54707	9.626	0.034	A
4365.57047	9.596	0.036	A
4369.53928	10.098	0.042	A
4371.55477	9.644	0.041	A
4375.52817	9.588	0.034	A
4377.53389	9.604	0.035	A
4380.52219	9.608	0.041	A
4383.5144	9.634	0.035	A
4386.50056	9.897	0.033	A
4389.49479	9.972	0.038	A
4491.8654	10.003	0.047	A
4499.86125	9.616	0.04	A
4507.83291	9.586	0.043	A
4511.83114	10.1	0.04	A
4516.81578	9.645	0.057	A
4519.8591	9.632	0.044	A
4522.85764	9.636	0.035	A
4526.81202	9.606	0.039	A
4529.84704	9.606	0.036	A
4532.8744	9.602	0.035	A
4536.82284	9.604	0.033	A
4542.81864	9.613	0.039	A
4545.80971	9.769	0.05	A
4548.79148	10	0.04	A
4559.77221	9.616	0.037	A
4561.8407	9.602	0.035	A
4564.75833	9.606	0.036	A
4566.83325	9.602	0.037	A
4571.76768	9.643	0.036	A
4573.76862	9.621	0.036	A
4575.76081	9.605	0.038	A
4578.81056	9.627	0.041	A
4580.7984	9.62	0.038	A
4585.72162	9.942	0.034	A
4587.77041	9.632	0.039	A
4590.68878	9.619	0.04	A
4592.81027	9.625	0.037	A
