HJD	MAG	MER_2	GRADE
1869.5226	10.171	0.033	A
1871.59815	10.102	0.032	A
1873.57977	10.398	0.031	A
1875.56527	10.127	0.032	A
1879.55609	10.07	0.03	A
1881.54769	10.537	0.031	A
1885.5359	10.165	0.033	A
1887.56105	10.062	0.032	A
1889.57744	10.526	0.035	A
1900.59005	10.138	0.031	A
1904.52556	10.086	0.037	A
1907.54043	10.102	0.032	A
1914.59294	10.097	0.031	A
1920.53239	10.082	0.031	A
1923.54269	10.086	0.03	A
1927.52756	10.043	0.034	A
2026.89374	10.414	0.034	A
2031.87362	10.054	0.032	A
2052.90458	10.048	0.034	A
2056.83416	10.079	0.033	A
2057.89043	10.135	0.034	A
2069.80685	10.096	0.035	A
2080.80682	10.096	0.033	A
2082.86154	10.118	0.033	A
2085.87982	10.087	0.031	A
2088.83758	10.099	0.032	A
2094.77676	10.083	0.036	A
2104.73606	10.083	0.029	A
2105.78775	10.117	0.031	A
2106.79926	10.113	0.032	A
2113.82854	10.109	0.031	A
2115.84063	10.125	0.033	A
2116.76876	10.086	0.032	A
2117.76069	10.05	0.03	A
2128.69854	10.097	0.033	A
2129.72236	10.114	0.031	A
2130.72617	10.102	0.032	A
2131.72771	10.535	0.031	A
2132.73915	10.106	0.029	A
2133.73001	10.059	0.029	A
2134.73221	10.027	0.029	A
2135.73078	10.114	0.036	A
2136.72872	10.097	0.033	A
2141.71839	10.049	0.031	A
2143.7104	10.158	0.033	A
2144.70307	10.088	0.03	A
2145.70547	10.098	0.03	A
2156.66691	10.109	0.035	A
2164.66499	10.137	0.033	A
2167.64204	10.089	0.031	A
2168.66301	10.129	0.031	A
2169.67441	10.122	0.032	A
2171.64302	10.13	0.038	A
2172.64647	10.092	0.032	A
2173.64872	10.039	0.031	A
2175.62961	10.093	0.034	A
2178.61941	10.115	0.031	A
2183.57362	10.073	0.034	A
2184.61473	10.123	0.034	A
2185.62106	10.132	0.032	A
2186.64925	10.114	0.032	A
2188.63857	10.104	0.032	A
2190.56671	10.044	0.033	A
2191.62296	10.067	0.031	A
2192.60648	10.107	0.03	A
2193.6076	10.119	0.031	A
2194.60542	10.126	0.03	A
2195.60967	10.108	0.032	A
2196.60423	10.096	0.036	A
2198.60065	10.037	0.032	A
2199.59448	10.085	0.032	A
2201.58328	10.122	0.031	A
2202.59966	10.109	0.031	A
2203.58035	10.126	0.031	A
2204.57383	10.134	0.03	A
