HJD	MAG	MER_3	GRADE
2660.80721	9.603	0.04	A
1919.84725	9.584	0.043	A
1921.83844	9.61	0.04	A
1925.83062	9.599	0.044	A
1926.86838	9.613	0.035	A
1929.82121	9.612	0.034	A
1931.81923	9.603	0.037	A
1933.82443	9.585	0.035	A
1935.87879	9.6	0.029	A
1938.80589	9.611	0.036	A
1940.82907	9.606	0.033	A
1946.78678	9.596	0.041	A
1948.8179	9.619	0.038	A
1950.78448	9.6	0.035	A
1953.79167	9.623	0.033	A
1955.82363	9.604	0.03	A
1958.87556	9.594	0.036	A
1961.82453	9.583	0.032	A
1964.77672	9.613	0.03	A
1965.90029	9.602	0.036	A
1967.7717	9.594	0.035	A
1971.88319	9.645	0.039	A
1976.85137	9.665	0.044	A
1978.7517	9.607	0.043	A
1979.76105	9.597	0.042	A
1981.75725	9.627	0.04	A
1982.75545	9.636	0.038	A
1984.76832	9.609	0.047	A
1985.7751	9.621	0.044	A
1993.80358	9.578	0.05	A
1995.71307	9.608	0.048	A
1997.75101	9.598	0.048	A
2025.66969	9.62	0.04	A
2026.68764	9.613	0.043	A
2032.66457	9.622	0.042	A
2085.55524	9.611	0.038	A
2102.50959	9.602	0.04	A
2104.51532	9.59	0.044	A
2109.54976	9.748	0.037	A
2115.48526	9.658	0.039	A
2117.48521	9.599	0.041	A
2128.50525	9.617	0.039	A
2132.52747	9.605	0.041	A
2134.52627	9.6	0.041	A
2136.51993	9.867	0.041	A
2141.52044	9.603	0.042	A
2145.5013	9.907	0.044	A
2441.5821	9.677	0.035	A
2443.57146	9.626	0.025	A
2452.53623	9.582	0.034	A
2454.55751	9.601	0.033	A
2456.53962	9.672	0.03	A
2459.53507	9.646	0.031	A
2464.53707	9.63	0.028	A
2465.53695	9.613	0.026	A
2467.52685	9.608	0.026	A
2468.52986	9.636	0.025	A
2469.5337	9.62	0.03	A
2470.52087	9.59	0.028	A
2473.50528	9.608	0.033	A
2481.48177	9.604	0.037	A
2483.50105	9.601	0.048	A
2490.50053	9.633	0.031	A
2493.50547	9.606	0.035	A
2495.52694	9.593	0.038	A
2497.5211	9.602	0.028	A
2499.48463	9.6	0.03	A
2502.54008	9.611	0.037	A
2503.54918	9.601	0.04	A
2508.51509	9.635	0.029	A
2512.57697	9.542	0.05	A
2520.49243	9.609	0.027	A
2521.51411	9.606	0.033	A
2524.51689	9.618	0.033	A
2526.54564	9.591	0.035	A
2535.48699	9.612	0.034	A
2544.52209	9.588	0.031	A
2547.48674	9.605	0.035	A
2552.48551	9.635	0.04	A
2631.86057	9.613	0.043	A
2635.86141	9.631	0.043	A
2643.8531	9.611	0.033	A
2650.85971	9.616	0.032	A
2653.85014	9.608	0.033	A
2657.86891	9.597	0.037	A
2660.83684	9.605	0.039	A
2663.82218	9.606	0.037	A
2666.83965	9.614	0.037	A
2670.82851	9.582	0.037	A
2673.84935	9.62	0.036	A
2676.83533	9.612	0.031	A
2679.80727	9.598	0.041	A
2684.83942	9.614	0.033	A
2686.85272	9.612	0.032	A
2688.85428	9.603	0.033	A
2690.82463	9.608	0.041	A
2693.84048	9.6	0.032	A
2701.79882	9.602	0.035	A
2705.78795	9.59	0.037	A
2707.77952	9.619	0.033	A
2709.77897	9.586	0.033	A
2711.76665	9.609	0.038	A
2713.76636	9.636	0.04	A
2715.7569	9.6	0.04	A
2719.73425	9.614	0.035	A
2721.7576	9.634	0.046	A
2725.74669	9.652	0.035	A
2727.77106	9.566	0.044	A
2731.85573	9.595	0.031	A
2734.71446	9.62	0.035	A
2736.7285	9.645	0.04	A
2738.7447	9.606	0.041	A
2740.74987	9.618	0.039	A
2742.68462	9.616	0.038	A
2744.71208	9.591	0.041	A
2750.80452	9.621	0.038	A
2752.72263	9.603	0.039	A
2755.67581	9.653	0.041	A
2757.66115	9.609	0.037	A
2759.72658	9.582	0.04	A
2764.71064	9.611	0.033	A
2770.68187	9.61	0.035	A
2776.77134	9.612	0.041	A
2782.66905	9.628	0.034	A
2783.83484	9.606	0.036	A
2785.7161	9.614	0.033	A
2787.67141	9.596	0.032	A
2790.69971	9.609	0.029	A
2794.58175	9.611	0.034	A
2802.80877	9.635	0.051	A
2804.66087	9.616	0.034	A
2808.66283	9.622	0.035	A
2810.58314	9.597	0.036	A
2811.73149	9.602	0.032	A
2813.66382	9.596	0.033	A
2820.66748	9.61	0.032	A
2822.70146	9.61	0.05	A
2826.70302	9.633	0.027	A
2830.55373	9.603	0.031	A
2831.67432	9.623	0.033	A
2832.73393	9.716	0.036	A
2834.60024	9.612	0.033	A
2835.70483	9.668	0.033	A
2838.69564	9.674	0.033	A
2843.60188	9.579	0.044	A
2851.54351	9.595	0.031	A
2853.66256	9.717	0.028	A
2855.58118	9.612	0.027	A
2858.63826	9.596	0.03	A
2860.59794	9.617	0.033	A
2866.57532	9.593	0.031	A
2868.6362	9.771	0.033	A
2878.53007	9.584	0.032	A
2882.51171	9.616	0.035	A
2884.51425	9.611	0.032	A
2885.56666	9.595	0.037	A
2888.57477	9.607	0.036	A
2894.55562	9.625	0.044	A
2905.5042	9.599	0.032	A
2908.5186	9.605	0.038	A
2910.5244	9.87	0.042	A
2917.50311	9.589	0.037	A
2923.48642	9.604	0.043	A
3007.85609	9.61	0.032	A
3011.85646	9.6	0.038	A
3018.8396	9.62	0.038	A
3030.87671	9.612	0.037	A
3051.88146	9.598	0.03	A
3055.80677	9.603	0.034	A
3062.79338	9.594	0.049	A
3066.84028	9.61	0.031	A
3069.80338	9.616	0.034	A
3072.80859	9.598	0.032	A
3075.7938	9.621	0.031	A
3078.78867	9.609	0.031	A
3081.77622	9.599	0.03	A
3085.85386	9.598	0.036	A
3088.75513	9.603	0.036	A
3090.81742	9.577	0.046	A
3097.72789	9.616	0.036	A
3099.76863	9.631	0.033	A
3101.7924	9.865	0.035	A
3103.81376	9.613	0.036	A
3105.81182	9.606	0.031	A
3107.81984	9.947	0.032	A
3110.69651	9.753	0.031	A
3114.80075	9.593	0.029	A
3116.84127	9.918	0.036	A
3121.73644	9.608	0.029	A
3125.71599	9.905	0.034	A
3127.70213	9.597	0.046	A
3129.72901	9.596	0.04	A
3131.75343	9.94	0.034	A
3133.75873	9.604	0.031	A
3144.79691	9.606	0.029	A
3153.64621	9.604	0.03	A
3158.69206	9.904	0.042	A
3160.70531	9.607	0.043	A
3163.72002	9.615	0.037	A
3168.75078	9.611	0.038	A
3171.70704	9.592	0.037	A
3175.69522	9.612	0.03	A
3180.62238	9.622	0.036	A
3183.61713	9.607	0.035	A
3185.61097	9.878	0.036	A
3187.6392	9.6	0.038	A
3393.85361	9.574	0.036	A
3402.82753	9.617	0.035	A
3405.8506	9.592	0.047	A
3409.81554	9.724	0.05	A
3415.86297	9.612	0.039	A
3418.87671	9.613	0.044	A
3432.81491	9.615	0.042	A
3446.77492	9.598	0.038	A
3450.82616	9.619	0.029	A
3466.73885	9.618	0.04	A
3469.77984	9.629	0.037	A
3474.76901	9.582	0.044	A
3477.70141	9.608	0.045	A
3479.75298	9.598	0.045	A
3481.74232	9.62	0.037	A
3490.72824	9.623	0.043	A
3496.71974	9.597	0.03	A
3499.71828	9.598	0.046	A
3501.76481	9.583	0.047	A
3504.62492	9.758	0.041	A
3508.6796	9.725	0.028	A
3510.75919	9.6	0.04	A
3512.65126	9.599	0.032	A
3515.82351	9.634	0.042	A
3521.78154	9.597	0.049	A
3523.73419	9.618	0.043	A
3530.56044	9.61	0.041	A
3539.60126	9.621	0.045	A
3554.62666	9.592	0.03	A
3556.68383	9.607	0.032	A
3564.52449	9.63	0.033	A
3569.58916	9.611	0.035	A
3571.64864	9.625	0.036	A
3574.65612	9.607	0.034	A
3576.65975	9.635	0.036	A
3578.66146	9.6	0.039	A
3587.6305	9.596	0.037	A
3589.63906	9.602	0.04	A
3592.51695	9.608	0.037	A
3594.56637	9.596	0.041	A
3603.60017	9.608	0.038	A
3606.59541	9.618	0.036	A
3616.51819	9.587	0.045	A
3619.50348	9.61	0.041	A
3626.51977	9.603	0.032	A
3630.52012	9.614	0.04	A
3632.52389	9.611	0.045	A
3639.50659	9.613	0.036	A
3647.49206	9.611	0.032	A
3650.48859	9.615	0.038	A
3782.86019	9.612	0.042	A
3805.81071	9.608	0.042	A
3813.84872	9.623	0.041	A
3821.75811	9.614	0.043	A
3828.85313	9.612	0.041	A
3831.73599	9.624	0.046	A
3833.77674	9.602	0.046	A
3835.77078	9.602	0.043	A
3837.76101	9.628	0.044	A
3847.76831	9.598	0.051	A
3849.75319	9.614	0.04	A
3862.68421	9.629	0.038	A
3866.67309	9.607	0.039	A
3870.71831	9.601	0.044	A
3875.80107	9.874	0.039	A
3879.62908	9.624	0.049	A
3890.63571	9.681	0.035	A
3892.626	9.618	0.039	A
3894.65576	9.628	0.034	A
3906.52723	9.62	0.037	A
3908.57551	9.695	0.038	A
4212.81282	9.613	0.045	A
4258.57052	9.649	0.031	A
4266.7439	9.598	0.037	A
4274.58184	9.564	0.032	A
4278.64523	9.606	0.03	A
4282.64418	9.611	0.046	A
4290.64088	9.602	0.03	A
4292.60189	9.599	0.028	A
4296.6081	9.697	0.032	A
4298.6127	9.589	0.037	A
4300.56199	9.607	0.038	A
4302.61582	9.687	0.032	A
4304.55763	9.594	0.03	A
4306.57455	9.611	0.035	A
4308.61689	9.587	0.041	A
4312.67951	9.587	0.038	A
4319.56747	9.601	0.031	A
4329.52719	9.6	0.041	A
4331.52875	9.604	0.031	A
4333.52717	9.614	0.035	A
4336.56419	9.624	0.031	A
4340.50564	9.603	0.035	A
4342.53151	9.614	0.034	A
4344.54025	9.613	0.035	A
4346.5416	9.586	0.033	A
4348.55617	9.619	0.032	A
4350.55792	9.61	0.035	A
4356.48967	9.607	0.031	A
4358.50244	9.604	0.033	A
4360.49209	9.598	0.033	A
4363.50958	9.626	0.032	A
4367.5167	9.6	0.035	A
4373.49253	9.616	0.041	A
4377.48882	9.598	0.032	A
4380.48779	9.603	0.035	A
4385.48684	9.608	0.032	A
4561.7317	9.622	0.033	A
4568.78828	9.6	0.048	A
4579.83961	9.616	0.036	A
4583.69611	9.581	0.032	A
4593.648	9.613	0.03	A
4618.6779	9.587	0.036	A
4624.65001	9.59	0.032	A
4638.72835	9.601	0.038	A
4675.6711	9.607	0.038	A
4694.63791	9.867	0.04	A
4702.61615	9.605	0.036	A
4707.58817	9.604	0.043	A
4715.58378	9.872	0.038	A
4720.53614	9.612	0.038	A
4734.4934	9.673	0.039	A
4738.50376	9.605	0.038	A
4741.50068	9.612	0.041	A
4748.49545	9.923	0.046	A
4895.87995	9.623	0.049	A
4903.87394	9.944	0.051	A
4917.78356	9.615	0.045	A
4993.75192	9.634	0.049	A
5042.55253	9.61	0.054	A
5047.57085	9.62	0.055	A
5089.50974	9.615	0.055	A
2026.68764	9.655	0.043	A
3409.81554	9.728	0.05	A
3432.81491	9.664	0.042	A
3499.71828	9.596	0.046	A
3805.81071	9.653	0.042	A
1954.8072	9.584	0.034	A
1955.82181	9.611	0.031	A
3385.86002	9.807	0.035	A
3397.83266	9.781	0.044	A
3405.84495	9.586	0.041	A
3418.8747	9.582	0.043	A
